Code,Area,Year,Fuel,Sector,Measurement,Value
E09000015,Harrow,2015,Coal,Total,Ktoe ,0.100170517
E09000016,Havering,2015,Coal,Total,Ktoe ,0.208782943
E09000017,Hillingdon,2015,Coal,Total,Ktoe ,0.239707945
E09000018,Hounslow,2015,Coal,Total,Ktoe ,0.131012048
E09000019,Islington,2015,Coal,Total,Ktoe ,0.041783905
E09000020,Kensington and Chelsea,2015,Coal,Total,Ktoe ,0.033402367
E09000021,Kingston upon Thames,2015,Coal,Total,Ktoe ,0.081333384
E09000022,Lambeth,2015,Coal,Total,Ktoe ,0.088728632
E09000023,Lewisham,2015,Coal,Total,Ktoe ,0.138375855
E09000024,Merton,2015,Coal,Total,Ktoe ,0.125490832
E09000025,Newham,2015,Coal,Total,Ktoe ,0.142281506
E09000026,Redbridge,2015,Coal,Total,Ktoe ,0.139189112
E09000027,Richmond upon Thames,2015,Coal,Total,Ktoe ,0.099105948
E09000028,Southwark,2015,Coal,Total,Ktoe ,0.076869602
E09000029,Sutton,2015,Coal,Total,Ktoe ,0.140443798
E09000030,Tower Hamlets,2015,Coal,Total,Ktoe ,0.047801554
E09000031,Waltham Forest,2015,Coal,Total,Ktoe ,0.149943148
E09000032,Wandsworth,2015,Coal,Total,Ktoe ,0.105906409
E09000033,Westminster,2015,Coal,Total,Ktoe ,0.046724998
E09000002,Barking and Dagenham,2005,Manufactured fuels,Total,Ktoe ,0.931184578
E09000003,Barnet,2005,Manufactured fuels,Total,Ktoe ,0.228145144
E09000004,Bexley,2005,Manufactured fuels,Total,Ktoe ,0.304581694
E09000005,Brent,2005,Manufactured fuels,Total,Ktoe ,0.201037417
E09000006,Bromley,2005,Manufactured fuels,Total,Ktoe ,0.409129871
E09000007,Camden,2005,Manufactured fuels,Total,Ktoe ,0.132235368
E09000001,City of London,2005,Manufactured fuels,Total,Ktoe ,0
E09000008,Croydon,2005,Manufactured fuels,Total,Ktoe ,0.410646657
E09000009,Ealing,2005,Manufactured fuels,Total,Ktoe ,0.414763574
E09000010,Enfield,2005,Manufactured fuels,Total,Ktoe ,0.343499798
E09000011,Greenwich,2005,Manufactured fuels,Total,Ktoe ,0.217309905
E09000012,Hackney,2005,Manufactured fuels,Total,Ktoe ,0.180454431
E09000013,Hammersmith and Fulham,2005,Manufactured fuels,Total,Ktoe ,0.095214701
E09000014,Haringey,2005,Manufactured fuels,Total,Ktoe ,0.411878473
E09000015,Harrow,2005,Manufactured fuels,Total,Ktoe ,0.16312049
E09000016,Havering,2005,Manufactured fuels,Total,Ktoe ,0.665229202
E09000017,Hillingdon,2005,Manufactured fuels,Total,Ktoe ,0.454840196
E09000018,Hounslow,2005,Manufactured fuels,Total,Ktoe ,0.323117291
E09000019,Islington,2005,Manufactured fuels,Total,Ktoe ,0.119721837
E09000020,Kensington and Chelsea,2005,Manufactured fuels,Total,Ktoe ,0.116852003
E09000021,Kingston upon Thames,2005,Manufactured fuels,Total,Ktoe ,0.197758612
E09000022,Lambeth,2005,Manufactured fuels,Total,Ktoe ,0.159147296
E09000023,Lewisham,2005,Manufactured fuels,Total,Ktoe ,0.219269464
E09000024,Merton,2005,Manufactured fuels,Total,Ktoe ,0.211581116
E09000025,Newham,2005,Manufactured fuels,Total,Ktoe ,0.225334799
E09000026,Redbridge,2005,Manufactured fuels,Total,Ktoe ,0.216717481
E09000027,Richmond upon Thames,2005,Manufactured fuels,Total,Ktoe ,0.234096277
E09000028,Southwark,2005,Manufactured fuels,Total,Ktoe ,0.206294787
E09000029,Sutton,2005,Manufactured fuels,Total,Ktoe ,0.527747243
E09000030,Tower Hamlets,2005,Manufactured fuels,Total,Ktoe ,0.189873654
E09000031,Waltham Forest,2005,Manufactured fuels,Total,Ktoe ,0.23967779
E09000032,Wandsworth,2005,Manufactured fuels,Total,Ktoe ,0.119737014
E09000033,Westminster,2005,Manufactured fuels,Total,Ktoe ,0.336040019
E09000002,Barking and Dagenham,2006,Manufactured fuels,Total,Ktoe ,0.958353845
E09000003,Barnet,2006,Manufactured fuels,Total,Ktoe ,0.224210669
E09000004,Bexley,2006,Manufactured fuels,Total,Ktoe ,0.337106889
E09000005,Brent,2006,Manufactured fuels,Total,Ktoe ,0.215818977
E09000006,Bromley,2006,Manufactured fuels,Total,Ktoe ,0.402668617
E09000007,Camden,2006,Manufactured fuels,Total,Ktoe ,0.133835172
